Source,Target,Weight,TipoRelacion
1,ASOCIACION COMUNION PROMOCION DESARROLLO Y LIBERACION COPRODELI,43312.5,Familia-Entidad
2,INMOBILIARIA Y EJECUTORES ORION S.A.C.,55568.0,Familia-Entidad
3,VALESE CONTRATISTAS GENERALES E.I.R.L.,38500.0,Familia-Entidad
4,VALESE CONTRATISTAS GENERALES E.I.R.L.,38500.0,Familia-Entidad
5,INMOBILIARIA Y EJECUTORES ORION S.A.C.,59796.0,Familia-Entidad
6,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
7,INMOBILIARIA IZARRA BARROS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,37625.0,Familia-Entidad
8,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
9,INMOBILIARIA IZARRA BARROS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,37625.0,Familia-Entidad
10,MAN GROUP INTERNACIONAL S.A.C.,37625.0,Familia-Entidad
11,MAN GROUP INTERNACIONAL S.A.C.,37625.0,Familia-Entidad
12,DESARROLLO INMOBILIARIO MARVERDE S.A.C,43312.5,Familia-Entidad
13,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
14,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
15,CHOCANO HERRERA CESAR JESUS,26400.0,Familia-Entidad
16,CHOCANO HERRERA CESAR JESUS,26400.0,Familia-Entidad
17,CHOCANO HERRERA CESAR JESUS,26400.0,Familia-Entidad
18,SHOGUN KENSETSU O.M. S.A.C.,26400.0,Familia-Entidad
19,SHOGUN KENSETSU O.M. S.A.C.,26400.0,Familia-Entidad
20,SHOGUN KENSETSU O.M. S.A.C.,26400.0,Familia-Entidad
21,CESPEDES INGENIERIA & CONSTRUCCIONES S.A.C.,26400.0,Familia-Entidad
22,SHOGUN KENSETSU O.M. S.A.C.,26400.0,Familia-Entidad
23,SHOGUN KENSETSU O.M. S.A.C.,26400.0,Familia-Entidad
24,RESILENTE S.A.C.,26400.0,Familia-Entidad
25,CESPEDES INGENIERIA & CONSTRUCCIONES S.A.C.,26400.0,Familia-Entidad
26,SHOGUN KENSETSU O.M. S.A.C.,26400.0,Familia-Entidad
27,E.D. & V.M. CONTRATISTAS GENERALES S.A.C.,26400.0,Familia-Entidad
28,E.D. & V.M. CONTRATISTAS GENERALES S.A.C.,26400.0,Familia-Entidad
29,O & M & B CONSTRUCTORA  E INMOBILIARIA E.I.R.L.,26400.0,Familia-Entidad
30,CESPEDES INGENIERIA & CONSTRUCCIONES S.A.C.,26400.0,Familia-Entidad
31,E.D. & V.M. CONTRATISTAS GENERALES S.A.C.,26400.0,Familia-Entidad
32,E.D. & V.M. CONTRATISTAS GENERALES S.A.C.,26400.0,Familia-Entidad
33,CONSTRUCCIONES Y SERVICIOS INTI RIO E.I.R.L. - CONSTR RIO E.I.R.L.,26400.0,Familia-Entidad
34,E.D. & V.M. CONTRATISTAS GENERALES S.A.C.,36209.8,Familia-Entidad
35,E.D. & V.M. CONTRATISTAS GENERALES S.A.C.,26400.0,Familia-Entidad
36,CESPEDES INGENIERIA & CONSTRUCCIONES S.A.C.,26400.0,Familia-Entidad
37,E.D. & V.M. CONTRATISTAS GENERALES S.A.C.,26400.0,Familia-Entidad
38,E.D. & V.M. CONTRATISTAS GENERALES S.A.C.,26400.0,Familia-Entidad
39,E.D. & V.M. CONTRATISTAS GENERALES S.A.C.,26400.0,Familia-Entidad
40,RESILENTE S.A.C.,26400.0,Familia-Entidad
41,E.D. & V.M. CONTRATISTAS GENERALES S.A.C.,26400.0,Familia-Entidad
42,CESPEDES INGENIERIA & CONSTRUCCIONES S.A.C.,26400.0,Familia-Entidad
43,E.D. & V.M. CONTRATISTAS GENERALES S.A.C.,26400.0,Familia-Entidad
44,CONSTRUCCIONES Y SERVICIOS INTI RIO E.I.R.L. - CONSTR RIO E.I.R.L.,26400.0,Familia-Entidad
45,E.D. & V.M. CONTRATISTAS GENERALES S.A.C.,26400.0,Familia-Entidad
