Id,EDAD JEFE FAMILIA,MODALIDAD,DEPARTAMENTO GRUPO FAMILIAR,Type,DEPARTAMENTO
1,45.0,AVN,ICA,familia,
2,52.0,AVN,LIMA,familia,
3,32.0,AVN,CAJAMARCA,familia,
4,57.0,AVN,LA LIBERTAD,familia,
5,38.0,AVN,PUNO,familia,
6,31.0,AVN,APURIMAC,familia,
7,32.0,AVN,AYACUCHO,familia,
8,27.0,AVN,TACNA,familia,
9,39.0,AVN,AYACUCHO,familia,
10,52.0,AVN,LA LIBERTAD,familia,
11,27.0,AVN,LA LIBERTAD,familia,
12,25.0,AVN,PIURA,familia,
13,25.0,AVN,TACNA,familia,
14,27.0,AVN,TACNA,familia,
15,55.0,CSP,AREQUIPA,familia,
16,50.0,CSP,AREQUIPA,familia,
17,27.0,CSP,AREQUIPA,familia,
18,59.0,CSP,PASCO,familia,
19,36.0,CSP,PASCO,familia,
20,76.0,CSP,PASCO,familia,
21,51.0,CSP,LAMBAYEQUE,familia,
22,58.0,CSP,PASCO,familia,
23,48.0,CSP,PASCO,familia,
24,77.0,CSP,LA LIBERTAD,familia,
25,68.0,CSP,LAMBAYEQUE,familia,
26,56.0,CSP,PASCO,familia,
27,36.0,CSP,PIURA,familia,
28,34.0,CSP,SAN MARTIN,familia,
29,41.0,CSP,AYACUCHO,familia,
30,73.0,CSP,LAMBAYEQUE,familia,
31,32.0,CSP,PIURA,familia,
32,43.0,CSP,SAN MARTIN,familia,
33,24.0,CSP,PIURA,familia,
34,66.0,CSP,SAN MARTIN,familia,
35,47.0,CSP,SAN MARTIN,familia,
36,65.0,CSP,LAMBAYEQUE,familia,
37,45.0,CSP,PIURA,familia,
38,52.0,CSP,LORETO,familia,
39,29.0,CSP,SAN MARTIN,familia,
40,39.0,CSP,LA LIBERTAD,familia,
41,47.0,CSP,SAN MARTIN,familia,
42,32.0,CSP,LAMBAYEQUE,familia,
43,32.0,CSP,SAN MARTIN,familia,
44,53.0,CSP,PIURA,familia,
45,43.0,CSP,SAN MARTIN,familia,
46,35.0,CSP,SAN MARTIN,familia,
47,41.0,CSP,PIURA,familia,
48,55.0,CSP,PIURA,familia,
49,80.0,CSP,SAN MARTIN,familia,
50,43.0,CSP,LA LIBERTAD,familia,
51,37.0,CSP,SAN MARTIN,familia,
52,49.0,CSP,PIURA,familia,
53,52.0,CSP,LAMBAYEQUE,familia,
54,25.0,CSP,SAN MARTIN,familia,
55,34.0,CSP,LA LIBERTAD,familia,
56,66.0,CSP,PIURA,familia,
57,62.0,CSP,PIURA,familia,
58,77.0,CSP,SAN MARTIN,familia,
59,64.0,CSP,PIURA,familia,
60,55.0,CSP,LA LIBERTAD,familia,
61,43.0,CSP,PIURA,familia,
62,36.0,CSP,PASCO,familia,
63,39.0,CSP,PIURA,familia,
64,37.0,CSP,SAN MARTIN,familia,
65,40.0,CSP,SAN MARTIN,familia,
66,28.0,CSP,LORETO,familia,
67,33.0,CSP,SAN MARTIN,familia,
68,34.0,CSP,SAN MARTIN,familia,
69,35.0,AVN,TACNA,familia,
70,47.0,AVN,PIURA,familia,
71,35.0,AVN,TACNA,familia,
72,43.0,AVN,TACNA,familia,
73,36.0,AVN,PIURA,familia,
74,42.0,AVN,AYACUCHO,familia,
75,45.0,AVN,TACNA,familia,
76,61.0,AVN,TACNA,familia,
77,29.0,AVN,TACNA,familia,
78,36.0,AVN,TACNA,familia,
79,46.0,AVN,TACNA,familia,
80,58.0,AVN,TACNA,familia,
81,47.0,AVN,TACNA,familia,
82,28.0,AVN,TACNA,familia,
83,40.0,AVN,PUNO,familia,
84,29.0,AVN,APURIMAC,familia,
85,25.0,AVN,TACNA,familia,
86,44.0,AVN,TACNA,familia,
87,35.0,AVN,TACNA,familia,
88,48.0,AVN,TACNA,familia,
89,31.0,AVN,TACNA,familia,
90,39.0,AVN,TACNA,familia,
91,28.0,AVN,MOQUEGUA,familia,
92,25.0,AVN,TACNA,familia,
93,42.0,AVN,TACNA,familia,
94,44.0,AVN,AREQUIPA,familia,
95,45.0,AVN,AREQUIPA,familia,
96,45.0,AVN,TACNA,familia,
97,40.0,AVN,TACNA,familia,
98,76.0,AVN,TACNA,familia,
99,37.0,AVN,LA LIBERTAD,familia,
100,46.0,AVN,CUSCO,familia,
101,30.0,AVN,ICA,familia,
102,27.0,AVN,TACNA,familia,
103,46.0,AVN,TACNA,familia,
104,58.0,AVN,TACNA,familia,
105,27.0,AVN,AREQUIPA,familia,
106,37.0,AVN,TACNA,familia,
107,36.0,AVN,TACNA,familia,
108,28.0,AVN,MOQUEGUA,familia,
109,40.0,AVN,TACNA,familia,
110,63.0,AVN,TACNA,familia,
111,32.0,AVN,TACNA,familia,
112,24.0,AVN,AREQUIPA,familia,
113,24.0,AVN,PUNO,familia,
114,29.0,AVN,TACNA,familia,
115,38.0,AVN,PUNO,familia,
116,37.0,AVN,TACNA,familia,
117,29.0,AVN,PIURA,familia,
118,32.0,AVN,TACNA,familia,
119,50.0,AVN,PUNO,familia,
120,43.0,AVN,TACNA,familia,
121,31.0,AVN,TACNA,familia,
122,29.0,AVN,MOQUEGUA,familia,
123,53.0,AVN,TACNA,familia,
124,35.0,AVN,TACNA,familia,
125,37.0,AVN,TACNA,familia,
126,30.0,AVN,PIURA,familia,
127,50.0,AVN,TACNA,familia,
128,24.0,AVN,LA LIBERTAD,familia,
129,45.0,AVN,AREQUIPA,familia,
130,42.0,AVN,TACNA,familia,
131,33.0,AVN,APURIMAC,familia,
132,40.0,AVN,APURIMAC,familia,
133,42.0,AVN,TACNA,familia,
134,45.0,AVN,TACNA,familia,
135,50.0,AVN,APURIMAC,familia,
136,73.0,AVN,APURIMAC,familia,
137,36.0,AVN,APURIMAC,familia,
138,24.0,AVN,APURIMAC,familia,
139,32.0,AVN,PUNO,familia,
140,54.0,AVN,APURIMAC,familia,
141,29.0,AVN,TACNA,familia,
142,50.0,AVN,LIMA,familia,
143,54.0,AVN,TACNA,familia,
144,65.0,AVN,CAJAMARCA,familia,
145,52.0,AVN,LA LIBERTAD,familia,
146,32.0,AVN,APURIMAC,familia,
147,40.0,AVN,TACNA,familia,
148,51.0,AVN,PIURA,familia,
149,59.0,AVN,ICA,familia,
150,31.0,AVN,TACNA,familia,
151,32.0,AVN,MOQUEGUA,familia,
152,40.0,AVN,TACNA,familia,
153,34.0,AVN,TACNA,familia,
154,45.0,AVN,LIMA,familia,
155,26.0,AVN,LIMA,familia,
156,49.0,AVN,TACNA,familia,
157,31.0,AVN,TACNA,familia,
158,29.0,AVN,PIURA,familia,
159,43.0,AVN,PIURA,familia,
160,28.0,AVN,TACNA,familia,
161,73.0,AVN,TACNA,familia,
162,22.0,AVN,APURIMAC,familia,
163,36.0,AVN,PIURA,familia,
164,53.0,AVN,AYACUCHO,familia,
165,66.0,AVN,SAN MARTIN,familia,
166,62.0,AVN,LAMBAYEQUE,familia,
167,25.0,AVN,LIMA,familia,
168,46.0,AVN,APURIMAC,familia,
169,29.0,AVN,APURIMAC,familia,
170,24.0,AVN,APURIMAC,familia,
171,27.0,AVN,APURIMAC,familia,
172,51.0,AVN,APURIMAC,familia,
173,39.0,AVN,APURIMAC,familia,
174,41.0,AVN,APURIMAC,familia,
175,51.0,AVN,LIMA,familia,
176,27.0,AVN,APURIMAC,familia,
177,36.0,AVN,APURIMAC,familia,
178,27.0,AVN,APURIMAC,familia,
179,37.0,AVN,APURIMAC,familia,
180,33.0,AVN,APURIMAC,familia,
181,49.0,AVN,APURIMAC,familia,
182,29.0,AVN,PIURA,familia,
183,39.0,AVN,SAN MARTIN,familia,
184,49.0,AVN,TACNA,familia,
185,36.0,AVN,LAMBAYEQUE,familia,
186,64.0,AVN,TUMBES,familia,
187,30.0,AVN,TUMBES,familia,
188,36.0,AVN,TUMBES,familia,
189,51.0,AVN,TUMBES,familia,
190,43.0,AVN,LIMA,familia,
191,40.0,AVN,LIMA,familia,
192,46.0,AVN,TUMBES,familia,
193,31.0,AVN,TUMBES,familia,
194,56.0,AVN,LIMA,familia,
